"Journal","Subfield","Publisher","Publisher Type","Business Model","APC (€)"
"Current Opinion in Allergy and Clinical Immunology","Immunology - Allergy and Hypersensitivity","Wolters Kluwer (Lippincott)","For-profit","Hybrid","2842"
"Current Opinion in Behavioral Sciences","Neurosciences - Behavioral Neuroscience","Elsevier","For-profit","Hybrid","3290"
"Current Opinion in Cell Biology","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier","For-profit","Hybrid","3132"
"Current Opinion in Endocrinology Diabetes and Obesity","Anatomy & Physiology - Endocrinology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3390"
"Current Opinion in Gastroenterology","Anatomy & Physiology - Physiology","Wolters Kluwer (Lippincott)","For-profit","",""
"Current Opinion in Genetics and Development","Development - Genetics; Genetics & Genomics - Generalist","Elsevier","For-profit","Hybrid","3096"
"Current Opinion in HIV AIDS","Immunology - Virology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3663"
"Current Opinion in Immunology","Immunology - Generalist/Classical Immunology","Elsevier","For-profit","Hybrid","3523"
"Current Opinion in Infectious Diseases","Immunology - Immunopathology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3632"
"Current Opinion in Lipidology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","2910"
"Current Opinion in Microbiology","Immunology - Immunopathology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Elsevier","For-profit","Hybrid","2875"
"Current Opinion in Neurobiology","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","2801"
"Current Opinion in Neurology","Neurosciences - Clinical Neuroscience","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3377"
"Current Opinion in Organ Transplantation","Immunology - Transplant Immunology","Wolters Kluwer (Lippincott)","For-profit","",""
"Current Opinion in Pharmacology","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit","Hybrid","2820"
"Current Opinion in Plant Biology","Plants - Generalist","Elsevier","For-profit","Hybrid","3290"
"Current Opinion in Psychiatry","Neurosciences - Clinical Neuroscience","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3923"
"Current Opinion in Psychology","Neurosciences - Cognitive Neuroscience","Elsevier","For-profit","Hybrid","3902"
"Current Opinion in Systems Biology","Generalist","Elsevier","For-profit","Hybrid","2923"
"Current Opinion in Virology","Immunology - Virology","Elsevier","For-profit","Hybrid","2889"
"Current Plant Biology","Plants - Generalist","Elsevier","For-profit","OA","1557"
"Current Research in Neurobiology","Neurosciences - Generalist","Elsevier","For-profit","OA","1095"
"Current Research in Translational Medicine","Generalist - Clinical/Medicine","Elsevier","For-profit","Hybrid","2395"
"Current Topics in Developmental Biology","Development - Generalist","Elsevier","For-profit","OA",""
"Current Topics in Membranes","Molecular & Cellular Biology - Methodology and Experimental Techniques","Elsevier","For-profit","",""
"Current Topics in Microbiology and Immunology","Immunology - Immunogenetics, Molecular and Cellular Immunology","Springer Nature","For-profit","",""
"Current Zoology","Ecology & Evolution - Zoology","Oxford University Press (OUP)","University Press associated with a society","OA","1455"
"Cybium","Ecology & Evolution - Zoology","Societe Francaise d'Ichtyologie","Non-profit","Subscription",""
"Cytogenetic and Genome Research","Genetics & Genomics - Genomics","Karger Publishers","For-profit","Hybrid","2926"
"Cytokine","Immunology - Immunogenetics, Molecular and Cellular Immunology","Elsevier","For-profit","Hybrid","3081"
"Cytokine & Growth Factor Reviews","Immunology - Immunogenetics, Molecular and Cellular Immunology","Elsevier","For-profit","Hybrid","2600"
"Cytometry Part A","Molecular & Cellular Biology - Methodology and Experimental Techniques","John Wiley & Sons","For-profit associated with a society","Hybrid","3299"
"Cytopathology","Molecular & Cellular Biology - Clinical and Medical Sciences","John Wiley & Sons","For-profit","Hybrid","1721"
"Cytoskeleton","Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit","Hybrid","2539"
"Decision","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","2745"
"Deep Brain Stimulation","Neurosciences - Neuromodulation","Elsevier","For-profit associated with a society","OA","2280"
"Dementia","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit","Hybrid","2488"
"Dementia and Geriatric Cognitive Disorders","Neurosciences - Clinical Neuroscience","Karger Publishers","For-profit","Hybrid","2512"
"Depression and Anxiety","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit","Hybrid","1899"
"Development","Development - Generalist","The Company of Biologists","Non-profit","Hybrid","3780"
"Developmental Biology","Development - Generalist","Elsevier","For-profit associated with a society","Hybrid","2796"
"Developmental Biology Advances","Development - Generalist","Springer Nature","For-profit","OA","2297"
"Developmental Cell","Development - Molecular and Cellular development; Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier (Cell Press)","For-profit","Hybrid","6927"
"Developmental Cognitive Neuroscience","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Elsevier","For-profit associated with a society","OA","2623"
"Developmental & Comparative Immunology","Development - Molecular and Cellular development; Immunology - Generalist/Classical Immunology","Elsevier","For-profit associated with a society","Hybrid","3859"
"Developmental Dynamics","Development - Generalist; Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Hybrid","1978"
"Developmental Medicine & Child Neurology","Development - Neuroscience; Neurosciences - Developmental Neuroscience","John Wiley & Sons","For-profit","Hybrid","2608"
"Developmental Neurobiology","Development - Neuroscience; Neurosciences - Developmental Neuroscience","John Wiley & Sons","For-profit","Hybrid","2580"
"Developmental Neuroscience","Neurosciences - Developmental Neuroscience","Karger Publishers","For-profit","Hybrid","3092"
"Developmental Psychobiology","Development - Neuroscience; Neurosciences - Developmental Neuroscience","John Wiley & Sons","For-profit","Hybrid","2886"
"Developmental Psychology","Development - Neuroscience; Neurosciences - Developmental Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","2949"
"Development and Psychopathology","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Cambridge University Press (CUP)","University Press","Hybrid","3531"
"Development Growth & Differentiation","Development - Molecular and Cellular Development","John Wiley & Sons","For-profit associated with a society","Hybrid","3167"
"Diagnostic Microbiology and Infectious Disease","Immunology - Immunopathology","Elsevier","For-profit","Hybrid","2674"
"Differentiation","Development - Molecular and Cellular development","Elsevier","For-profit","Hybrid","2833"
"Digestion","Anatomy & Physiology - Physiology","Karger Publishers","For-profit","",""
"Discover Developmental Biology","Development - Generalist","Springer Nature","For-profit","",""
"Discover Neuroscience","Neurosciences - Generalist","Springer Nature","For-profit","",""
"Discover Oncology","Cancer - Generalist","Springer Nature","For-profit","OA","1391"
"Disease Models and Mechanisms","Immunology - Immunopathology","The Company of Biologists","Non-profit","OA","3215"
"DNA and Cell Biology","Genetics & Genomics - Molecular and Cellular Genetics","Sage Publishing","For-profit","Hybrid","3233"
"DNA Research","Genetics & Genomics - Genomics","Oxford University Press (OUP)","University Press","OA","555"
"Drug and Alcohol Review","Neurosciences - Addiction","John Wiley & Sons","For-profit associated with a society","Hybrid","2254"
"Drug Resistance Updates","Cancer - Treatment; Immunology - Immunopathology","Elsevier","For-profit","Hybrid","3755"
"Early Human Development","Development - Generalist","Elsevier","For-profit","Hybrid","2692"
"Ecography","Ecology & Evolution - Applied Ecology","John Wiley & Sons","For-profit associated with a society","OA","2424"
"Ecohealth","Ecology & Evolution - Health; Generalist - Clinical/Medicine","Springer Nature","For-profit associated with a society","Hybrid","2220"
"Ecologia Mediterranea","Ecology & Evolution - Genetics","Naturalia Publications","Non-profit","Subscription",""
"Ecological Applications","Ecology & Evolution - Applied Ecology","John Wiley & Sons","For-profit associated with a society","Hybrid","2474"
"Ecological Entomology","Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Hybrid","2354"
"Ecological Monographs","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2470"
"Ecological Research","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2496"
"Ecological Solutions & Evidence","Ecology & Evolution - Applied Ecology","John Wiley & Sons","For-profit associated with a society","OA","1551"
"Ecology","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2228"
"Ecology and Society","Ecology & Evolution - Applied Ecology","Resilience Alliance/Ecology & Society","Non-profit","OA","1165"
"Ecology Letters","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit","Hybrid","3822"
"Ecoscience","Ecology & Evolution - Genetics","Taylor & Francis Group","For-profit","Hybrid",""
"Ecosphere","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","OA","1579"
"Egyptian Journal of Botany","Ecology & Evolution - Genetics; Plants - Generalist","Egyptian Academy of Scientific Research and Technology","Non-profit","OA diamond","0"
"Elementa","Ecology & Evolution - Applied Ecology","University of California Press","University Press","OA",""
"eLife","Ecology & Evolution - Genetics; Generalist","eLife Sciences Publications","Non-profit","OA","2459"
"EMBO Journal","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit associated with a society","OA","5640"
"EMBO Molecular Medicine","Molecular & Cellular Biology - Clinical and Medical Sciences","Springer Nature","For-profit associated with a society","OA","4941"
"EMBO Reports","Development - Generalist; Ecology & Evolution - Genetics; Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit associated with a society","Hybrid","5946"
"Emerging Infectious Diseases","Ecology & Evolution - Health; Immunology - Immunopathology","Centers for Disease Control and Prevention","Non-profit","OA diamond","0"
"Emerging Microbes and Infections","Immunology - Immunopathology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Taylor & Francis Group","For-profit","OA","2235"
"Emotion","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","2884"
"Emotion Review","Neurosciences - Cognitive Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","1417"
"Endocrine","Anatomy & Physiology - Endocrinology","Springer Nature","For-profit","Hybrid","3138"
"Endocrine Connections","Anatomy & Physiology - Endocrinology","Bioscientifica Ltd","Non-profit","OA","1947"
"Endocrine Journal","Anatomy & Physiology - Endocrinology","The Japan Endocrine Society","Non-profit","OA",""
"Endocrine Pathology","Anatomy & Physiology - Endocrinology","Springer Nature","For-profit associated with a society","Hybrid","3138"
"Endocrine Related Cancer","Anatomy & Physiology - Endocrinology; Cancer - Endocrine System Cancer","Bioscientifica Ltd","Non-profit","Hybrid","3620"
"Endocrine Research","Anatomy & Physiology - Endocrinology","Taylor & Francis Group","For-profit","",""
"Endocrine Reviews","Anatomy & Physiology - Endocrinology","Oxford University Press (OUP)","University Press","Hybrid","3113"
"Endocrinology","Anatomy & Physiology - Endocrinology","Oxford University Press (OUP)","University Press","Hybrid","2654"
